"cellID","usdyav","usdyav_pr","cellArea","parks","usdyav_est"
190,0.25,0.026,16237500,2064793.74120725,0.453612139931533
191,28.625,2.959,16237500,13377776.1849235,0.913504174949773
192,3,0.31,16237500,5034286.68465879,0.562371398052724
193,0.125,0.013,16237500,1084357.04045539,0.419392247519033
194,5.75,0.594,16237500,25388.90231025,0.383335776519366
195,0.125,0.013,16237500,0,0.38248265498065
196,0,0,16237500,0,0.38248265498065
197,0,0,16237500,0,0.38248265498065
198,0,0,16237500,0,0.38248265498065
199,0.25,0.026,16237500,0,0.38248265498065
200,0.375,0.039,16237500,0,0.38248265498065
201,0.5,0.052,16237500,0,0.38248265498065
202,0.375,0.039,16237500,0,0.38248265498065
203,0,0,16237500,0,0.38248265498065
204,0.125,0.013,16237500,0,0.38248265498065
205,0,0,16237500,0,0.38248265498065
206,0.75,0.078,16237500,0,0.38248265498065
207,26.875,2.778,16237500,14859494.2408279,0.983651275364865
208,12.875,1.331,16237500,15303535.2365226,1.00516951347536
209,0.625,0.065,16237500,646363.37289012,0.404366549408927
210,0.25,0.026,16237500,0,0.38248265498065
211,0.75,0.078,16237500,0,0.38248265498065
212,0,0,16237500,0,0.38248265498065
213,0.25,0.026,16237500,0,0.38248265498065
214,0,0,16237500,0,0.38248265498065
215,0.375,0.039,16237500,0,0.38248265498065
216,0,0,16237500,0,0.38248265498065
217,0.125,0.013,16237500,0,0.38248265498065
218,0,0,16237500,0,0.38248265498065
219,0,0,16237500,0,0.38248265498065
220,0,0,16237500,0,0.38248265498065
221,0,0,16237500,0,0.38248265498065
222,0.5,0.052,16237500,0,0.38248265498065
223,96.375,9.963,16237500,5051206.18341587,0.563013840714574
224,2.625,0.271,16237500,13633047.2894706,0.92540979378378
225,0,0,16237500,666815.45727998,0.405064619921157
226,2,0.207,16237500,2293364.11370912,0.461707727250949
227,1.875,0.194,16237500,0,0.38248265498065
228,0,0,16237500,0,0.38248265498065
229,0,0,16237500,0,0.38248265498065
230,0.25,0.026,16237500,0,0.38248265498065
